gt_path,gt_class_id,prediction
./test_dataset/ts_img_001.jpg,101,101
./test_dataset/ts_img_002.jpg,101,101
./test_dataset/ts_img_003.jpg,101,101
./test_dataset/ts_img_004.jpg,101,101
./test_dataset/ts_img_005.jpg,101,101
./test_dataset/ts_img_006.jpg,101,101
./test_dataset/ts_img_007.jpg,102,102
./test_dataset/ts_img_008.jpg,102,102
./test_dataset/ts_img_009.jpg,102,102
./test_dataset/ts_img_010.jpg,102,102
./test_dataset/ts_img_011.jpg,102,108
./test_dataset/ts_img_012.jpg,102,102
./test_dataset/ts_img_013.jpg,103,109
./test_dataset/ts_img_014.jpg,103,109
./test_dataset/ts_img_015.jpg,103,109
./test_dataset/ts_img_016.jpg,103,109
./test_dataset/ts_img_017.jpg,103,109
./test_dataset/ts_img_018.jpg,103,109
./test_dataset/ts_img_019.jpg,104,104
./test_dataset/ts_img_020.jpg,104,104
./test_dataset/ts_img_021.jpg,104,104
./test_dataset/ts_img_022.jpg,104,135
./test_dataset/ts_img_023.jpg,104,135
./test_dataset/ts_img_024.jpg,104,135
./test_dataset/ts_img_025.jpg,107,105
./test_dataset/ts_img_026.jpg,107,105
./test_dataset/ts_img_027.jpg,107,105
./test_dataset/ts_img_028.jpg,107,105
./test_dataset/ts_img_029.jpg,107,105
./test_dataset/ts_img_030.jpg,107,105
./test_dataset/ts_img_031.jpg,108,106
./test_dataset/ts_img_032.jpg,108,106
./test_dataset/ts_img_033.jpg,108,106
./test_dataset/ts_img_034.jpg,108,106
./test_dataset/ts_img_035.jpg,108,112
./test_dataset/ts_img_036.jpg,108,106
./test_dataset/ts_img_037.jpg,109,107
./test_dataset/ts_img_038.jpg,109,107
./test_dataset/ts_img_039.jpg,109,107
./test_dataset/ts_img_040.jpg,109,107
./test_dataset/ts_img_041.jpg,109,107
./test_dataset/ts_img_042.jpg,109,107
./test_dataset/ts_img_043.jpg,110,108
./test_dataset/ts_img_044.jpg,110,108
./test_dataset/ts_img_045.jpg,110,108
./test_dataset/ts_img_046.jpg,110,108
./test_dataset/ts_img_047.jpg,110,108
./test_dataset/ts_img_048.jpg,110,108
./test_dataset/ts_img_049.jpg,111,109
./test_dataset/ts_img_050.jpg,111,109
./test_dataset/ts_img_051.jpg,111,109
./test_dataset/ts_img_052.jpg,111,109
./test_dataset/ts_img_053.jpg,111,109
./test_dataset/ts_img_054.jpg,111,109
./test_dataset/ts_img_055.jpg,113,110
./test_dataset/ts_img_056.jpg,113,110
./test_dataset/ts_img_057.jpg,113,110
./test_dataset/ts_img_058.jpg,113,110
./test_dataset/ts_img_059.jpg,113,110
./test_dataset/ts_img_060.jpg,113,110
./test_dataset/ts_img_061.jpg,115,111
./test_dataset/ts_img_062.jpg,115,111
./test_dataset/ts_img_063.jpg,115,111
./test_dataset/ts_img_064.jpg,115,111
./test_dataset/ts_img_065.jpg,115,111
./test_dataset/ts_img_066.jpg,115,111
./test_dataset/ts_img_067.jpg,116,112
./test_dataset/ts_img_068.jpg,116,112
./test_dataset/ts_img_069.jpg,116,112
./test_dataset/ts_img_070.jpg,116,112
./test_dataset/ts_img_071.jpg,116,112
./test_dataset/ts_img_072.jpg,116,112
./test_dataset/ts_img_073.jpg,117,109
./test_dataset/ts_img_074.jpg,117,109
./test_dataset/ts_img_075.jpg,117,109
./test_dataset/ts_img_076.jpg,117,109
./test_dataset/ts_img_077.jpg,117,109
./test_dataset/ts_img_078.jpg,117,109
./test_dataset/ts_img_079.jpg,118,114
./test_dataset/ts_img_080.jpg,118,114
./test_dataset/ts_img_081.jpg,118,114
./test_dataset/ts_img_082.jpg,118,114
./test_dataset/ts_img_083.jpg,118,114
./test_dataset/ts_img_084.jpg,118,114
./test_dataset/ts_img_085.jpg,119,115
./test_dataset/ts_img_086.jpg,119,115
./test_dataset/ts_img_087.jpg,119,211
./test_dataset/ts_img_088.jpg,119,115
./test_dataset/ts_img_089.jpg,119,115
./test_dataset/ts_img_090.jpg,119,211
./test_dataset/ts_img_091.jpg,120,116
./test_dataset/ts_img_092.jpg,120,116
./test_dataset/ts_img_093.jpg,120,116
./test_dataset/ts_img_094.jpg,120,116
./test_dataset/ts_img_095.jpg,120,116
./test_dataset/ts_img_096.jpg,120,116
./test_dataset/ts_img_097.jpg,121,117
./test_dataset/ts_img_098.jpg,121,117
./test_dataset/ts_img_099.jpg,121,117
./test_dataset/ts_img_100.jpg,121,117
./test_dataset/ts_img_101.jpg,121,117
./test_dataset/ts_img_102.jpg,121,117
./test_dataset/ts_img_103.jpg,122,118
./test_dataset/ts_img_104.jpg,122,118
./test_dataset/ts_img_105.jpg,122,137
./test_dataset/ts_img_106.jpg,122,118
./test_dataset/ts_img_107.jpg,122,118
./test_dataset/ts_img_108.jpg,122,118
./test_dataset/ts_img_109.jpg,123,119
./test_dataset/ts_img_110.jpg,123,119
./test_dataset/ts_img_111.jpg,123,119
./test_dataset/ts_img_112.jpg,123,119
./test_dataset/ts_img_113.jpg,123,119
./test_dataset/ts_img_114.jpg,123,119
./test_dataset/ts_img_115.jpg,124,120
./test_dataset/ts_img_116.jpg,124,120
./test_dataset/ts_img_117.jpg,124,310
./test_dataset/ts_img_118.jpg,124,120
./test_dataset/ts_img_119.jpg,124,120
./test_dataset/ts_img_120.jpg,124,120
./test_dataset/ts_img_121.jpg,125,121
./test_dataset/ts_img_122.jpg,125,121
./test_dataset/ts_img_123.jpg,125,121
./test_dataset/ts_img_124.jpg,125,121
./test_dataset/ts_img_125.jpg,125,211
./test_dataset/ts_img_126.jpg,125,121
./test_dataset/ts_img_127.jpg,126,122
./test_dataset/ts_img_128.jpg,126,122
./test_dataset/ts_img_129.jpg,126,122
./test_dataset/ts_img_130.jpg,126,122
./test_dataset/ts_img_131.jpg,126,122
./test_dataset/ts_img_132.jpg,126,122
./test_dataset/ts_img_133.jpg,127,123
./test_dataset/ts_img_134.jpg,127,123
./test_dataset/ts_img_135.jpg,127,123
./test_dataset/ts_img_136.jpg,127,123
./test_dataset/ts_img_137.jpg,127,123
./test_dataset/ts_img_138.jpg,127,123
./test_dataset/ts_img_139.jpg,128,124
./test_dataset/ts_img_140.jpg,128,124
./test_dataset/ts_img_141.jpg,128,124
./test_dataset/ts_img_142.jpg,128,124
./test_dataset/ts_img_143.jpg,128,124
./test_dataset/ts_img_144.jpg,128,124
./test_dataset/ts_img_145.jpg,129,125
./test_dataset/ts_img_146.jpg,129,125
